"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Miguel Sano","Twins","126","499","430","106","20","2","31","72","82","58","173","3","1","1","",".247",".338",".520",".858",".355","","122","-1.2","-0.2","","12.5","-10.4","1.9","","89.4","12164"
"Cesar Hernandez","Indians","133","554","487","135","25","2","10","63","56","57","95","4","9","3","",".278",".356",".400",".755",".326","","98","0.5","-1.3","","-0.8","0.9","1.9","","275.6","10556"
"Jason Castro","Angels","90","342","296","65","14","1","11","40","39","37","106","4","2","1","",".220",".312",".387",".699",".301","","88","-0.8","1.2","","-5.9","8.7","1.9","","348.2","8722"
"Mitch Garver","Twins","90","372","328","83","18","1","16","48","51","37","90","3","1","0","",".255",".333",".465",".799",".336","","109","-0.3","-2.7","","3.8","4.9","1.9","","117.4","15161"
"Yoshitomo Tsutsugo","Rays","109","444","378","95","18","1","21","55","59","59","114","3","1","1","",".251",".353",".468",".821",".345","","119","0.0","0.0","","10.8","-7.2","1.9","","332.4","27459"
"Brandon Nimmo","Mets","115","526","430","100","22","3","15","71","47","77","141","11","8","3","",".232",".359",".400",".759",".330","","108","1.1","-5.4","","6.5","-4.3","1.9","","355.2","12927"
"Adam Frazier","Pirates","130","579","519","144","30","5","10","67","56","45","78","8","7","4","",".277",".341",".413",".754",".321","","98","1.0","-1.4","","-0.5","0.8","1.9","","474.2","15223"
"Yadier Molina","Cardinals","98","411","379","100","20","1","12","44","50","23","62","5","4","2","",".263",".311",".411",".722",".306","","90","-2.6","3.7","","-8.1","11.9","1.8","","244.0","7007"
"Brett Gardner","Yankees","120","515","453","112","20","4","17","66","60","51","101","5","9","3","",".246",".327",".423",".749",".320","","99","2.2","-1.0","","1.2","-0.7","1.8","","303.0","9927"
"Randal Grichuk","Blue Jays","128","531","486","119","29","3","29","68","80","33","143","5","3","1","",".245",".299",".500",".798",".329","","105","0.2","-2.7","","3.6","-3.7","1.8","","247.2","10243"
"Kevin Kiermaier","Rays","113","448","403","97","18","5","13","51","52","32","103","5","14","5","",".240",".302",".411",".714",".301","","89","2.0","5.1","","-4.2","7.0","1.8","","424.4","11038"
"Jose Abreu","White Sox","147","652","594","164","34","1","32","87","101","41","138","12","3","1","",".276",".332",".498",".830",".344","","117","-2.2","-3.1","","11.8","-16.3","1.8","","60.6","15676"
"David Fletcher","Angels","131","570","519","146","29","3","7","67","53","39","61","4","8","3","",".281",".334",".386",".720",".310","","94","0.5","1.8","","-4.0","2.3","1.8","","296.0","17992"
"Sean Murphy","Athletics","90","350","314","79","17","1","13","42","46","26","74","4","2","1","",".251",".314",".442",".757",".318","","101","0.3","0.0","","0.6","7.5","1.8","","226.6","19352"
"Jonathan Villar","Marlins","144","658","586","151","28","4","17","82","60","58","168","5","33","10","",".258",".327",".408",".735",".315","","97","3.2","-7.0","","0.3","-3.4","1.8","","46.6","10071"
"David Peralta","Diamondbacks","128","550","495","138","29","3","20","67","75","44","111","5","2","1","",".280",".342",".472",".814",".341","","109","0.1","0.1","","6.4","-6.1","1.8","","223.4","2136"
"Trent Grisham","Padres","118","499","433","106","20","3","17","59","62","56","107","4","8","4","",".246",".335",".428",".763",".324","","101","0.5","-0.6","","1.2","0.8","1.8","","295.2","18564"
"Edwin Encarnacion","White Sox","130","549","469","115","19","1","33","76","86","67","126","7","2","1","",".246",".346",".498",".844",".353","","123","-2.6","-0.2","","13.3","-14.6","1.8","","139.6","2151"
"Jackie Bradley Jr.","Red Sox","131","504","439","106","26","3","17","64","62","49","132","9","9","4","",".240",".325",".427",".752",".319","","93","1.7","0.8","","-2.8","3.0","1.7","","459.6","12984"
"Shogo Akiyama","Reds","104","482","423","116","21","2","13","65","45","47","92","4","9","4","",".274",".351",".428",".778",".333","","101","-0.3","0.0","","0.6","1.7","1.7","","251.2","27461"
"Dansby Swanson","Braves","141","575","511","129","28","3","17","62","67","53","128","4","10","4","",".252",".325",".416",".741",".313","","90","1.8","-1.8","","-5.9","5.2","1.7","","221.6","18314"
"Brandon Crawford","Giants","131","562","501","124","28","2","14","59","56","49","118","4","4","2","",".248",".318",".394",".713",".302","","88","-0.1","2.2","","-9.2","8.8","1.7","","540.2","5343"
"Robinson Cano","Mets","117","500","455","123","28","0","17","58","67","35","80","5","1","0","",".271",".327",".449",".776",".326","","105","-1.9","-1.6","","1.2","0.3","1.7","","344.8","3269"
"Charlie Blackmon","Rockies","141","630","567","167","32","5","29","91","91","48","116","8","7","3","",".295",".356",".521",".877",".365","","111","0.2","-4.9","","9.0","-11.9","1.7","","48.4","7859"
"C.J. Cron","Tigers","134","576","520","136","28","1","30","75","90","39","131","12","1","1","",".262",".325",".496",".821",".341","","111","-1.5","1.4","","6.9","-10.1","1.7","","179.2","12546"
"Jonathan Schoop","Tigers","134","560","518","136","28","2","27","68","81","27","127","8","2","1","",".262",".306",".478",".784",".325","","101","-1.0","-4.2","","-0.2","-2.4","1.7","","274.2","11265"
"Will Smith","Dodgers","89","350","309","70","13","1","17","40","48","31","89","5","2","1","",".225",".304",".441",".745",".313","","95","0.0","0.6","","-2.3","8.0","1.7","","161.2","19197"
"Jacob Stallings","Pirates","80","318","289","76","17","1","7","29","34","20","61","4","1","1","",".262",".317",".392",".709",".300","","84","0.0","0.2","","-6.7","6.9","1.7","","460.6","13723"
"Yuli Gurriel","Astros","144","605","560","162","36","2","23","80","91","32","73","6","5","2","",".289",".332",".486",".818",".341","","116","-1.7","-3.5","","10.8","-15.3","1.6","","130.2","19198"
"Shed Long","Mariners","123","568","510","126","24","3","17","69","54","45","137","4","11","4","",".248",".312",".408",".720",".306","","93","1.2","-0.7","","-3.8","0.6","1.6","","454.2","16542"
