pitch_type,pitch_name,release_speed,release_pos_x,release_pos_z,player_name,events,description,zone,stand,p_throws,type,,,,,,,,,,,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,,,,,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,,,,,,,,,,,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FC,Cutter,86.6,2.2622,5.6762,Hyun-Jin Ryu,null,ball,13,R,L,B,,,,,,,,,,,null,null,0,0,2019,-0.3416,0.596,-0.9953,1.2919,null,null,643289,1,4,Bot,null,null,,,,,190928_210659,-7.0982,-126.0984,-5.5906,-2.4717,21.6732,-24.9516,3.4594,1.646,null,null,null,87.375,2117,6.4,,,,,,,,,,,54.0999,null,null,null,null,null,null,null,26,1
CU,Curveball,72.4,2.3943,5.7828,Hyun-Jin Ryu,single,hit_into_play_no_out,8,R,L,X,,,,,,,,,,,8,ground_ball,0,0,2019,-1.2897,-1.0379,0.1972,1.8424,null,null,null,1,4,Bot,114.39,101.42,,,,,190928_210627,-2.2105,-105.3617,1.2839,-9.0114,18.3145,-40.2088,3.2069,1.5523,72,95.9,3.3,71.659,2643,5.766,,,,,,,,,,,54.7336,0.485,0.454,0.9,1,1,0,4,25,1
FC,Cutter,86.8,2.4767,5.8516,Hyun-Jin Ryu,strikeout,called_strike,6,R,L,S,,,,,,,,,,,2,null,0,2,2019,-0.4382,0.7374,0.7547,2.3673,null,null,null,0,4,Bot,null,null,,,,,190928_210549,-3.2335,-126.5875,-3.7855,-4.2197,20.8989,-23.7288,3.0473,1.4316,null,null,null,87.542,2128,6.213,,,,,,,,,,,54.2869,null,null,0,1,0,0,null,24,3
FF,4-Seam Fastball,90,2.4162,5.6946,Hyun-Jin Ryu,null,foul,3,R,L,S,,,,,,,,,,,null,null,0,1,2019,0.8848,0.9547,0.2829,2.8302,null,null,null,0,4,Bot,null,null,,,,,190928_210530,-7.1752,-130.9108,-3.1872,11.6536,26.2659,-20.7165,3.1211,1.4606,257,81.4,33.8,90.27,2033,6.366,,,,,,,,,,,54.1336,null,null,null,null,null,null,null,24,2
CH,Changeup,79.3,2.5316,5.7244,Hyun-Jin Ryu,null,called_strike,12,R,L,S,,,,,,,,,,,null,null,0,0,2019,1.3367,0.8699,1.0935,2.9434,null,null,null,0,4,Bot,null,null,,,,,190928_210511,-5.6087,-115.4114,-0.9181,12.9059,21.518,-24.5093,2.9936,1.3977,null,null,null,79.114,1753,6.155,,,,,,,,,,,54.3444,null,null,null,null,null,null,null,24,1
CH,Changeup,80.8,2.4873,5.6844,Hyun-Jin Ryu,strikeout,swinging_strike,8,R,L,S,,,,,,,,,,,2,null,2,2,2019,1.2408,0.5271,0.0221,2.2108,null,null,null,2,3,Bot,null,null,,,,,190928_205404,-7.8224,-117.391,-2.0815,12.8874,21.5113,-27.1401,3.4899,1.6678,null,null,null,80.71,1612,6.243,,,,,,,,,,,54.2564,null,null,0,1,0,0,null,19,7
CU,Curveball,73.3,2.1904,5.9388,Hyun-Jin Ryu,null,foul,9,R,L,S,,,,,,,,,,,null,null,2,2,2019,-1.4245,-1.2914,0.7017,1.6706,null,null,null,2,3,Bot,null,null,,,,,190928_205335,-0.6081,-106.5728,0.8645,-10.4715,18.3366,-42.164,3.5031,1.6658,97,54.7,20.7,72.337,2598,5.604,,,,,,,,,,,54.8954,null,null,null,null,null,null,null,19,6
FF,4-Seam Fastball,91.1,2.2906,5.7319,Hyun-Jin Ryu,null,foul,2,R,L,S,,,,,,,,,,,null,null,2,2,2019,0.9486,1.3265,-0.0532,3.1741,null,null,null,2,3,Bot,null,null,,,,,190928_205318,-7.9668,-132.4872,-3.3969,12.9403,28.3083,-15.9384,3.468,1.661,null,null,null,91.446,2177,6.531,,,,,,,,,,,53.9688,null,null,null,null,null,null,null,19,5
FC,Cutter,null,null,null,Hyun-Jin Ryu,null,foul,null,R,L,S,,,,,,,,,,,null,null,2,1,2019,null,null,null,null,null,null,null,2,3,Bot,null,null,,,,,190928_205247,null,null,null,null,null,null,3.58,1.71,null,null,null,null,null,null,,,,,,,,,,,null,null,null,null,null,null,null,null,19,4
CU,Curveball,72.1,2.2723,5.8769,Hyun-Jin Ryu,null,ball,14,R,L,B,,,,,,,,,,,null,null,1,1,2019,-1.2708,-1.2749,1.2687,1.4722,null,null,null,2,3,Bot,null,null,,,,,190928_205238,0.0863,-104.7246,0.9089,-8.928,20.7371,-41.6069,3.4617,1.6103,null,null,null,70.234,2624,5.319,,,,,,,,,,,55.1806,null,null,null,null,null,null,null,19,3
FF,4-Seam Fastball,90.5,2.2681,5.7649,Hyun-Jin Ryu,null,called_strike,4,R,L,S,,,,,,,,,,,null,null,1,0,2019,0.7145,1.1254,-0.3075,2.4384,null,null,null,2,3,Bot,null,null,,,,,190928_205224,-7.9902,-131.6675,-4.813,10.0135,26.8973,-18.1881,3.6115,1.7596,null,null,null,91.002,2050,6.519,,,,,,,,,,,53.9808,null,null,null,null,null,null,null,19,2
FF,4-Seam Fastball,90.8,2.4149,5.6799,Hyun-Jin Ryu,null,ball,3,R,L,B,,,,,,,,,,,null,null,0,0,2019,0.7954,1.0817,0.4779,3.5418,null,null,null,2,3,Bot,null,null,,,,,190928_205209,-6.59,-132.1456,-1.8083,10.7314,26.2509,-19.1928,3.5466,1.665,null,null,null,91.458,2034,6.528,,,,,,,,,,,53.9719,null,null,null,null,null,null,null,19,1
CH,Changeup,83.2,2.5529,5.5779,Hyun-Jin Ryu,strikeout,swinging_strike,12,R,L,S,,,,,,,,,,,2,null,3,2,2019,0.9089,0.3686,0.9504,2.487,null,null,null,1,3,Bot,null,null,,,,,190928_205142,-5.5072,-121.2584,-1.4487,10.0704,21.293,-28.4104,3.0197,1.3849,null,null,null,84.109,1476,6.573,,,,,,,,,,,53.9266,null,null,0,1,0,0,null,18,6
CH,Changeup,81.5,2.4773,5.6542,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,2,2,2019,1.1022,0.4018,1.7971,2.4713,null,null,null,1,3,Bot,null,null,,,,,190928_205120,-3.6746,-118.732,-1.3292,11.1721,23.6405,-28.319,3.0999,1.4662,null,null,null,81.756,1552,6.489,,,,,,,,,,,54.0104,null,null,null,null,null,null,null,18,5
FF,4-Seam Fastball,91.5,2.4626,5.7052,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,1,2,2019,0.7861,1.0676,0.8416,4.4623,null,null,null,1,3,Bot,null,null,,,,,190928_205102,-5.786,-133.2509,0.405,10.5666,27.2866,-19.7217,3.1501,1.4637,null,null,null,91.783,2116,6.311,,,,,,,,,,,54.1887,null,null,null,null,null,null,null,18,4
FF,4-Seam Fastball,91.1,2.4297,5.6412,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,2,2019,0.707,1.1299,0.8211,4.6022,null,null,null,1,3,Bot,null,null,,,,,190928_205043,-5.5586,-132.5882,0.8383,9.4899,26.9515,-19.1906,3.2046,1.4865,null,null,null,91.355,2100,6.323,,,,,,,,,,,54.1762,null,null,null,null,null,null,null,18,3
